"anio","semestre","puntaje_final","horas_estudio","asistencia","promedio_previo","horas_sueno","edad","estres","uso_redes","ingresos_familiares","genero","carrera","acceso_internet","trabaja","modalidad"
2021,"Sem1",141.587834507185,NA,-20,8.86417071586378,6.24970256489627,25,5.91636414609848,5.32694486207554,912.523301247337,"FEMALE","Business","NO","No","virtual"
2021,"Sem1",103.770948940228,9.3667448052153,86.8503687481058,6.53309571211631,7.18306262533869,21,3.12791228756408,3.20011299711605,645.495094192142,"male","Data","Yes","Si","Presencial"
2021,"Sem1",118.246638863047,8.51582452234155,88.0750408818059,5.97665374091412,6.68969277272053,18,4.59892466865889,4.5944271194865,1358.6786382251,"Female","Busines","NO","No","Presencial"
2021,"Sem1",148.043632667616,17.578135953489,NA,9.12620283723216,6.82282575624297,21,3.64149059718465,0.78848452134977,1441.61237521246,"Male","Busines","No","Si","Presencial"
2021,"Sem1",174.853494758364,NA,80.7284123112429,10.9234926318509,22,21,1.78068972123992,2.50090410479644,1069.15763103538,"FEMALE","Ingenieria","NO","Si","Presencial"
2021,"Sem1",151.228789469558,19.0046900982853,80.6667298343017,9.8546908844799,6.013426950411,18,3.23150450110797,2.88688482650327,1783.74089962959,"Female","Ingenieria","Yes","Si","Presencial"
2021,"Sem1",149.007171128793,16.4468466220934,81.7221280326147,NA,5.92346427693475,17,4.16399224585997,1.71969037856041,1360.82347537508,"FEMALE","Data","yes","sí","Presencial"
2021,"Sem1",143.444287884182,14.1201746068508,72.2052782955537,8.24721761359644,6.99975923510167,21,4.33714417423938,0.892830260505771,1813.32094470236,"Female","Busines","No","No","Virtual"
2021,"Sem1",152.382891838309,25.7313965736982,80.4008119612,5.9262724763713,6.99691567126759,19,4.39610991143158,8.68810316573718,910.065756622342,"FEMALE","Ingenieria","yes","Si","Virtual"
2021,"Sem1",122.112062613285,12.8776284209267,81.2632404695674,7.89383222483135,7.11824901010579,22,4.93354483750409,4.46947815915434,884.867815765818,"Male","Ingenieria","No","Si","Presencial"
2021,"Sem1",119.696534528112,11.1240366197348,66.612651351942,7.18231863033474,6.00734211666935,19,2.3875670820926,2.95051057993136,767.589930662418,"male","Business","No","NO","Virtual"
2021,"Sem1",140.80214896467,13.5702064187742,NA,7.68092281463006,6.67079842342485,15,3.09792859512609,4.3437996042567,1432.97542530177,"male","Business","No","NO","Presencial"
2021,"Sem1",131.426990931328,NA,73.2935749362329,8.031837625307,6.99269354629184,19,5.73682824364784,3.59862160766175,1317.10510543965,"Male","Business","No","No","virtual"
2021,"Sem1",143.607534321128,13.8118424097354,92.979998346551,7.92462328315894,6.67193742940219,24,4.54044618816293,3.63259487885979,1485.46376195077,"FEMALE",NA,"No","No","Virtual"
2021,"Sem1",142.815402320925,17.9282999493253,78.2439262443931,9.57921036335444,5.18429812601446,20,4.88722175704363,4.73785493763022,804.77422283932,"Male","Business","Yes","No","Presencial"
2021,"Sem1",139.233562717426,17.0391869130928,93.5731126796,8.93714914415274,6.3386683514056,18,5.00942910693464,3.07885511858037,1238.04992195717,"Male",NA,"yes","sí","Virtual"
2021,"Sem1",131.955631925171,NA,91.9862082942349,7.36582655414495,7.08371162497621,23,4.10301025402911,2.6659334519412,386.12512809354,"Male","Data","yes","sí","Presencial"
2021,"Sem1",128.085807932524,9.6158908290913,95.0545596930366,6.50956334936558,7.86142505169413,22,NA,5.05124721490475,1488.75464306113,"Female","CS","NO","Si","Presencial"
2021,"Sem1",119.560136183416,13.8874107917477,62.1811356103981,NA,6.27452523523916,19,7.60761755002638,4.11392792348658,770.916763743669,"Female","Busines","Yes","sí","Presencial"
2021,"Sem1",137.974687294639,17.7574130186666,82.1230910393726,8.58544890315508,6.63370998296363,25,3.47214513092414,3.82356131212117,1582.70297987114,"FEMALE","CS","yes","NO","Virtual"
2021,"Sem1",160.871705282574,14.9937460188806,83.7668366891157,8.17353809453284,4.94704738595161,25,3.18649451921179,1.34807301260958,1134.1569874422,"Female",NA,"Yes","NO","Presencial"
2021,"Sem1",145.514801129814,12.2046996243335,72.8039915777398,7.22549752294561,6.56775965691191,26,3.87673042423348,0.642479303996415,973.495303052625,"Male","Data","No","NO","Presencial"
2021,"Sem1",139.294879142148,14.4963094032378,76.5811347907667,7.70498217358028,6.47284733763876,21,2.3742061912641,-0.36480900893595,1056.11377085923,"FEMALE","Busines","No","Si","virtual"
2021,"Sem1",136.192377188508,18.0432692336751,72.6211864488025,8.8992080866725,5.66707399927244,20,4.3943452497171,3.33149308801758,1872.99844425712,"male","Data","NO","sí","Virtual"
2021,"Sem1",137.543466607484,14.8552246060741,81.4357399457202,8.4973485846679,6.58409940281631,20,6.17313550128987,3.80670242875325,1043.31113411598,"FEMALE","Data","yes","sí","Presencial"
2021,"Sem1",124.63505035636,13.437119867011,76.5965884903129,7.57495768352416,5.68667845243379,75,NA,3.0783738141079,1671.17331768011,"Male","Business","yes","NO","Presencial"
2021,"Sem1",129.904994527899,13.1848183841141,NA,8.02606435374758,5.66189758918875,27,2.12544498958164,1.36734985429731,1965.57968426981,"Female","Ingenieria","Yes","Si","Presencial"
2021,"Sem1",164.265976323912,18.983759621613,67.5645557972905,9.67687505379186,7.01695706600004,22,4.5429336896892,2.49178399742813,1179.30384420184,"FEMALE","Busines","yes","Si","Presencial"
2021,"Sem1",163.818287387901,16.7246842938318,106.448428427999,8.78182623033734,5.78809948332411,25,3.42819671653544,0.128147718872912,1380.80718964788,"Female",NA,"Yes","sí","Presencial"
2021,"Sem1",102.77895431527,11.2760133254072,87.521889323375,6.56354711248241,7.19953329167625,20,4.31795817775285,2.32964630199652,1085.00005453292,"male","Data","NO","sí","virtual"
2021,"Sem1",149.115659351486,17.3613732944066,72.5083631172161,8.8972796990986,5.16386519114629,23,-2,2.76448844446375,1288.00451516124,"male","CS","No","Si","Presencial"
2021,"Sem1",141.826796634272,11.5937202481127,74.005719125695,6.93040106682479,7.31292930996858,16,2.54165592931689,1.69854350291795,1888.23516813531,"FEMALE","Data","yes","No","Virtual"
2021,"Sem1",161.65713670566,21.9945693769259,82.1711687802376,10.6328169485514,5.6328871791806,21,5.69790093573315,3.0184277279808,850.315123049372,"male","CS","Yes","sí","Presencial"
2021,"Sem1",149.375980330754,17.3851869674462,NA,9.24775941831099,6.48207967363758,23,2.33573816968971,2.14978066740944,1077.11760729689,"male","Data","Yes","Si","Virtual"
2021,"Sem1",118.231209858907,NA,90.0565681886837,5.14658964550842,6.7554288631935,24,3.45342442217685,1.65582700289921,1121.84055158183,"male","Business","Yes","No","Presencial"
2021,"Sem1",136.246697895364,17.7054880214456,81.3462059959841,9.0638040297169,5.08555169406088,21,5.53790732110493,6.02745246379537,936.814381124826,"Male","Data","No","NO","virtual"
2021,"Sem1",138.006377163222,15.6635367253852,84.8508016106503,8.34975099130023,6.30808019405517,27,3.73049755935587,2.4826700489072,1270.36419584375,"Female","CS","yes","sí","Presencial"
2021,"Sem1",131.053722961395,14.2603106686932,88.567876931382,8.26333499689321,6.17750660686533,24,5.70474107201515,4.50753600758123,1333.26467654021,"Female","Data","yes","NO","Presencial"
2021,"Sem1",168.274735059522,20.4308034588424,72.461386578379,10.0476889940357,5.98546600460128,28,1.59175853119124,-0.197060286243705,1063.67010114246,"Female","Ingenieria","Yes","NO","Presencial"
2021,"Sem1",127.7848411242,15.803399991388,78.6739499650919,8.66859833559289,6.84376099351365,19,3.93874996704504,2.75330636339388,1422.12965304443,"FEMALE","CS","No","NO","Virtual"
2021,"Sem1",146.337603873611,15.1109352629994,74.7746732461564,8.38225428357018,5.67384433969253,15,2.7298625669042,1.50864014922504,1077.44934669769,"FEMALE","Busines","yes","NO","Virtual"
2021,"Sem1",127.919198079701,9.00062310508863,NA,NA,6.90734315411763,21,3.81578550540352,4.29713292128924,1256.11506927723,"Male","Business","yes","sí","Presencial"
2021,"Sem1",185.042230867284,24.123469664427,83.038561818222,12.0819509186664,3.82805009722724,15,2.93257335708796,2.37635475162456,475.849146698657,"Female","Busines","yes","Si","Presencial"
